tahun;direktorat_id;nama_direktorat;kode_kegiatan;nama_kegiatan;kode_rincian_output;nama_rincian_output;jenis_output;komoditas_id;nama_komoditas;satuan_id;nama_satuan;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;jumlah_output;_raw_kegiatan_word;_raw_komoditas_nama;_raw_satuan_nama;;id_direktorat;nama_direktorat;;kode_rincian_output;kode_kegiatan;nama_kegiatan;nama_rincian_output;jenis_output;id_direktorat;;id_komoditas;nama;kd_kom;;id_satuan;nama_satuan;;key_kegiatan_komoditas;kode_rincian_output
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;72;Sulawesi Tengah;7210;Sigi;80;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;72;Sulawesi Tengah;7209;Tojo Una Una;100;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;72;Sulawesi Tengah;7204;Toli Toli;20;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;74;Sulawesi Tenggara;7401;Kolaka;20;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;13;Sumatera Barat;1302;Solok;50;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;12;Sumatera Utara;1211;Dairi;25;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;11;Aceh;1104;Aceh Tengah;20;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;51;Bali;5106;Bangli;45;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;51;Bali;5108;Buleleng;40;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;51;Bali;5107;Karangasem;10;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;17;Bengkulu;1708;Kepahiang;25;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;34;DI Yogyakarta;3402;Bantul;100;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;34;DI Yogyakarta;3403;Gunungkidul;50;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;15;Jambi;1501;Kerinci;100;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;32;Jawa Barat;3204;Bandung;60;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;32;Jawa Barat;3203;Cianjur;150;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;32;Jawa Barat;3205;Garut;20;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;33;Jawa Tengah;3304;Banjarnegara;100;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;33;Jawa Tengah;3325;Batang;120;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;33;Jawa Tengah;3309;Boyolali;80;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;33;Jawa Tengah;3313;Karanganyar;10;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;33;Jawa Tengah;3324;Kendal;165;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;33;Jawa Tengah;3308;Magelang;220;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;33;Jawa Tengah;3326;Pekalongan;90;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;33;Jawa Tengah;3327;Pemalang;60;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;33;Jawa Tengah;3328;Tegal;40;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;33;Jawa Tengah;3323;Temanggung;650;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;33;Jawa Tengah;3307;Wonosobo;307;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;35;Jawa Timur;3519;Madiun;40;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;35;Jawa Timur;3520;Magetan;20;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
2026;2;Direktorat Perbenihan;4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;1;Bawang Putih;1;HA;35;Jawa Timur;3507;Malang;70;Benih;Bawang Putih;Ha;;;;;;;;;;;;;;;;;;;;
